x,eta,phi
3.810111560985549040e-01,3.718593045414166076e-02,-6.042831494053153563e-01
4.712477964918537765e-01,4.539984283015937455e-02,-4.241394984609282437e-01
5.688287349048579689e-01,5.386455895833709706e-02,-2.137634670909586143e-01
6.208813697729332892e-01,5.817522626372530203e-02,-9.923163445600452492e-02
7.435188016703220271e-01,6.768822561631940293e-02,1.645893941083418910e-01
7.714611401959075021e-01,6.971834632904462536e-02,2.219353726562796059e-01
7.757060710292470462e-01,7.002203328825984396e-02,2.305231042748307480e-01
7.991330688518444303e-01,7.167518246562144812e-02,2.772777561139805336e-01
8.151222562333775290e-01,7.278094448472115230e-02,3.085306946464876354e-01
1.033035894477495775e+00,8.588579717645271339e-02,6.688026801135106281e-01
1.053020668097695678e+00,8.689222629283162302e-02,6.950135888578152787e-01
1.134636182559353612e+00,9.063805352672270332e-02,7.896725899240499835e-01
1.169103926657865777e+00,9.204006236020835507e-02,8.237703052993312625e-01
1.194912452597989949e+00,9.301835196450880527e-02,8.470814946141308477e-01
1.271596635099262684e+00,9.555726904325251292e-02,9.055708875056308615e-01
1.275223472788114210e+00,9.566354338491378506e-02,9.079520604481817747e-01
1.287936673671640442e+00,9.602612285258478597e-02,9.160334704954767870e-01
1.299985213326581235e+00,9.635542298940354133e-02,9.233154557610006030e-01
1.304494754881003749e+00,9.647507897537742350e-02,9.259477047523380078e-01
1.309457086135184412e+00,9.660448188677624171e-02,9.287860405465468983e-01
1.346971676388162509e+00,9.750556616675970512e-02,9.483063595991924055e-01
1.470284499223170505e+00,9.949529374556816130e-02,9.898299699935920737e-01
1.476564410151131934e+00,9.955634573146011912e-02,9.910682148050865559e-01
1.480987224904536381e+00,9.959698725097304584e-02,9.918912808010527105e-01
1.500069658552525720e+00,9.974999116350490025e-02,9.949811344121597401e-01
1.539103854528227844e+00,9.994978356346172210e-02,9.989949152685423384e-01
1.671022589526749647e+00,9.949815512271065199e-02,9.898880528907570975e-01
1.719963075056897717e+00,9.888952542491982745e-02,9.774260247008319524e-01
1.874636157330731745e+00,9.541947015260696108e-02,9.024750458521407781e-01
1.874925880298240921e+00,9.541079803230742562e-02,9.022799012685390752e-01
2.074969785183657933e+00,8.755740624150154527e-02,7.121683532972749031e-01
2.148793683409941035e+00,8.375584683435538524e-02,6.124044380491791006e-01
2.371588162654040488e+00,6.961384627110302203e-02,2.189806282400107995e-01
2.412877447966581101e+00,6.659116889855931642e-02,1.336775379185856649e-01
2.549830917945361985e+00,5.578240565762076358e-02,-1.633222896057101026e-01
2.581178225650019975e+00,5.315372784852006455e-02,-2.322286270648639128e-01
2.735063337369167513e+00,3.954238972602331509e-02,-5.553682923283619344e-01
2.801950202825219893e+00,3.331499896214045603e-02,-6.793517926284511343e-01
2.827148438069688741e+00,3.092879855332737737e-02,-7.221734813908430306e-01
2.861381899527418948e+00,2.765581887629228394e-02,-7.763965729879740429e-01
2.900922895193057904e+00,2.383531348293403684e-02,-8.327909773382369263e-01
2.952170224344172311e+00,1.882916865806269491e-02,-8.948956913377891231e-01
3.020587844225922858e+00,1.207097301016671342e-02,-9.564997925237990195e-01
3.024402612660928469e+00,1.169219867122506425e-02,-9.591746365020488163e-01
3.066448378032458955e+00,7.507357646489659642e-03,-9.831236393184176192e-01
3.181352217510754699e+00,-3.974908927724656732e-03,-9.952625260735995516e-01
3.312360998807749812e+00,-1.699395683962648396e-02,-9.141956523110998933e-01
3.385019090249480112e+00,-2.410294525919287612e-02,-8.290894608661221188e-01
3.456832671012678659e+00,-3.100446699979576143e-02,-7.208574420238723635e-01
3.498228775799395951e+00,-3.491240035649528090e-02,-6.491938700919854810e-01
3.622630911064915971e+00,-4.626998555909887789e-02,-4.035615541414756535e-01
3.817846908908504311e+00,-6.258760307862282213e-02,2.171722795325742306e-02
3.855029286874300798e+00,-6.544361283354337144e-02,1.014304870095516509e-01
3.870115776675194130e+00,-6.657683772552359935e-02,1.332742216994236562e-01
3.873161876937630588e+00,-6.680381585237861464e-02,1.396635848473537500e-01
3.878329034582149948e+00,-6.718742448941454615e-02,1.504694997716695126e-01
3.895704360623815088e+00,-6.846414798849743966e-02,1.864903464494579444e-01
3.922050369990901952e+00,-7.036047423051354499e-02,2.400948595663528473e-01
3.988256218127568697e+00,-7.490742365049174456e-02,3.684897211603213041e-01
4.017760586916667265e+00,-7.682916201680940749e-02,4.223949907979274165e-01
4.064322467823040519e+00,-7.972524301044554840e-02,5.028324126863241705e-01
4.093169997445731845e+00,-8.143320067619529146e-02,5.496596785903834492e-01
4.135143672314489649e+00,-8.379691114476239822e-02,6.135027649045093900e-01
4.191014807378777185e+00,-8.671355612462708362e-02,6.903824202769091034e-01
4.246842029235670779e+00,-8.935761665566105405e-02,7.578673962414698151e-01
4.260689161262175340e+00,-8.997064391073261724e-02,7.731706345425892746e-01
4.281148138752877585e+00,-9.084477793991647954e-02,7.947493697256698963e-01
4.282951597705517699e+00,-9.092001445352959621e-02,7.965929131057567503e-01
4.291155415158027786e+00,-9.125852466082258474e-02,8.048599489171398558e-01
4.410114367328739071e+00,-9.546618241951432271e-02,9.035255521304953463e-01
4.624157278114535252e+00,-9.961101078533039777e-02,9.921750571308058930e-01
4.636713355837673411e+00,-9.971379661738771771e-02,9.942514523421887018e-01
4.647190889266570757e+00,-9.978753572349752243e-02,9.957372104923944978e-01
4.723970578993057501e+00,-9.999329340364913887e-02,9.998658545806587972e-01
4.740910777938500686e+00,-9.995932811051835842e-02,9.991860662186796693e-01
4.743848977779931531e+00,-9.995051750959456360e-02,9.990096161214091497e-01
4.791378514349927897e+00,-9.968819484848470691e-02,9.937348513972646957e-01
4.851391987924169591e+00,-9.903546274884850176e-02,9.804337360490338327e-01
5.135097059392006003e+00,-9.119813459846243253e-02,8.033884430521115450e-01
5.169441223560943044e+00,-8.973572536736650063e-02,7.673224940814696859e-01
5.278055749850123490e+00,-8.442314137881444525e-02,6.302007196582636306e-01
5.356938226395158154e+00,-7.993706783482269762e-02,5.086677749333093912e-01
5.456173343451475866e+00,-7.359115266043035619e-02,3.314038363277106436e-01
5.506415157563294471e+00,-7.009796105502022479e-02,2.326703935810636725e-01
5.566944161477229258e+00,-6.565540922172848071e-02,1.073742800996749236e-01
5.594924319371405552e+00,-6.351950141790173310e-02,4.762789359611496742e-02
5.617507454187686378e+00,-6.175924048198098287e-02,-1.220369654958475270e-03
5.619237411336936105e+00,-6.162308729412147024e-02,-4.981372510483583760e-03
5.630681039493930840e+00,-6.071781129151498924e-02,-2.991829211348584483e-02
5.647887894310809287e+00,-5.934169268005178716e-02,-6.757420250033896458e-02
5.740086531702388584e+00,-5.167913655577040244e-02,-2.701082093151836450e-01
5.866313677297117835e+00,-4.049019822503961696e-02,-5.350413190623413140e-01
5.882042134254598764e+00,-3.904710196153706597e-02,-5.658435228038845022e-01
5.984427119158921116e+00,-2.943336308093769810e-02,-7.476082943403531411e-01
6.030237332212987411e+00,-2.502592096431197760e-02,-8.160334597826334191e-01
6.210138804003264568e+00,-7.298156035148280207e-03,-9.840494451045117552e-01
6.281750238523928331e+00,-1.435068163089525130e-04,-9.999938217423431919e-01
6.545141300970893639e+00,2.589703117004541616e-02,-8.033009306734594235e-01
6.584142370894968899e+00,2.964343890675284754e-02,-7.441016840513040576e-01
6.612932116496426538e+00,3.238034889036976727e-02,-6.964471514927461637e-01
6.640239988394917248e+00,3.495161947939615099e-02,-6.484387380185233640e-01
6.706539827296176703e+00,4.108211283112520734e-02,-5.221626644952728213e-01
6.922093268269145838e+00,5.963191656666068374e-02,-5.965926245711206111e-02
6.942305183008394387e+00,6.124213233393730610e-02,-1.549027970360372652e-02
6.955399610346695738e+00,6.227200820259055913e-02,1.296734017392692229e-02
7.033166956166616579e+00,6.816253326766380516e-02,1.779739551871931669e-01
7.118030953593279975e+00,7.411929042148412972e-02,3.462967496023257041e-01
7.120456560630147536e+00,7.428190130221519472e-02,3.508789948971383632e-01
7.131710023199379300e+00,7.503059253643647175e-02,3.719541299049987648e-01
7.185464545840534178e+00,7.847416712095937885e-02,4.682248266783687329e-01
7.186372899763164845e+00,7.853043660070395393e-02,4.697863166379978583e-01
7.219357928311288752e+00,8.052948488095276747e-02,5.249473983630867924e-01
7.260159769261516516e+00,8.288082790930614840e-02,5.889060579360977377e-01
7.285708939581952315e+00,8.428318282214068702e-02,6.264773416641767900e-01
7.324202333046517133e+00,8.629186202403034411e-02,6.794139652090176451e-01
7.426336370594883718e+00,9.099448497037362915e-02,7.984155020510280698e-01
7.473680590911930821e+00,9.285529304631114089e-02,8.432246106719433199e-01
7.499812261681752190e+00,9.379348835132839124e-02,8.652550113119273911e-01
7.586710934675872764e+00,9.644952961571751082e-02,9.253862779030826990e-01
7.709231427559221750e+00,9.895419682829863228e-02,9.787603885194943176e-01
7.822328467717289513e+00,9.994990803586156769e-02,9.989974084584708480e-01
7.848882402257081559e+00,9.999869989461174224e-02,9.999739973851613506e-01
8.086561131368153355e+00,9.730750889375022750e-02,9.440528767612262895e-01
8.184420333784064638e+00,9.459000948816122245e-02,8.836445827566873357e-01
8.228541399979405924e+00,9.306687773569076449e-02,8.482270443067919663e-01
8.283975286828759721e+00,9.089683955963065443e-02,7.960252876000547539e-01
8.291323266495576050e+00,9.058807686073616638e-02,7.884427706694255855e-01
8.325708254956030174e+00,8.907849966409903120e-02,7.508547971657266729e-01
8.400118545199891429e+00,8.545373429062973203e-02,6.574604136599239146e-01
8.404834857693941785e+00,8.520782426570847057e-02,6.509817879379894423e-01
8.575003255387269263e+00,7.511316954242654165e-02,3.742761587554519487e-01
8.609468851042167969e+00,7.279375724215168819e-02,3.088926206996736035e-01
8.638295818203920007e+00,7.078728546277833489e-02,2.521667816287777586e-01
8.734372270311158815e+00,6.368500169804552913e-02,5.224036362091849517e-02
8.744859538195916215e+00,6.287295895449282468e-02,2.963989132136207738e-02
8.846832659189113102e+00,5.463041026968676328e-02,-1.937267938719754445e-01
8.929276506745560837e+00,4.754728553780288025e-02,-3.728863420997441946e-01
8.946899712513566527e+00,4.598961545036621412e-02,-4.102207232864678588e-01
9.027840698604114422e+00,3.865955519232162213e-02,-5.739687697342167327e-01
9.070442250716963528e+00,3.469674194521518706e-02,-6.533337124522088368e-01
9.130430408526299502e+00,2.901155248741181872e-02,-7.545830335618426421e-01
9.155938509075134846e+00,2.656127546324166255e-02,-7.933269153380019256e-01
9.195694923827723244e+00,2.270846117007679563e-02,-8.479569362814508571e-01
9.265991391125730559e+00,1.581201580628520398e-02,-9.256191460657646752e-01
9.394210342320745255e+00,3.056285837938274921e-03,-9.971986075840205688e-01
9.526805344087598826e+00,-1.018504649394235892e-02,-9.689870582341422178e-01
9.657604412519782855e+00,-2.307286303212475326e-02,-8.431269372952253649e-01
9.755199349091061123e+00,-3.244416508085944811e-02,-6.952930153112300005e-01
9.817057719333634580e+00,-3.822959946710228346e-02,-5.829092063859139250e-01
9.818362622738424861e+00,-3.835014516841000337e-02,-5.804104839032393492e-01
9.838947083929094006e+00,-4.024294423438944113e-02,-5.403792581241663173e-01
9.917325669765178375e+00,-4.728722857271100422e-02,-3.791760306587195206e-01
9.920901338983814099e+00,-4.760198890011852618e-02,-3.715604602687891944e-01
1.005169997488725109e+01,-5.866548738307786337e-02,-8.595699530913958331e-02
1.005176475926755941e+01,-5.867073373915352580e-02,-8.581469543029912606e-02
1.013605689508777274e+01,-6.528031326927224987e-02,9.685032267203141920e-02
1.014313949361754119e+01,-6.581519784473834067e-02,1.118610061460240113e-01
1.015757021639422852e+01,-6.689477500296446555e-02,1.422249991484210718e-01
1.016693308116688499e+01,-6.758778331707165909e-02,1.617563876655652710e-01
1.020968616210919855e+01,-7.067602408319138829e-02,2.490198359788288185e-01
1.028816895594755287e+01,-7.600506138096937980e-02,3.993201647881584604e-01
1.031177138724522102e+01,-7.751758646816454823e-02,4.416149124090944511e-01
1.036303805418033441e+01,-8.065307025020844456e-02,5.283357740917153933e-01
1.036583265541899479e+01,-8.081796974081734142e-02,5.328525692283303528e-01
1.056332606808641472e+01,-9.080262362280862309e-02,7.937154831760913076e-01
1.071121114477326408e+01,-9.598405151818262260e-02,9.150991509618566777e-01
1.083586478028412259e+01,-9.872735225000460468e-02,9.740693739649207705e-01
1.088923451521718988e+01,-9.943512524919918827e-02,9.886074998894276433e-01
1.096671525508583755e+01,-9.995836070225987136e-02,9.991666941846143457e-01
1.108637890712938479e+01,-9.958800925844503438e-02,9.917095436887117810e-01
1.112627171501407020e+01,-9.914712421622785821e-02,9.827267414202238704e-01
1.113301704278029902e+01,-9.905696039683414833e-02,9.808757575896255299e-01
1.121029211518311897e+01,-9.770365560638791247e-02,9.525393111001519975e-01
1.122548750575695919e+01,-9.736861756404893709e-02,9.453675003762997964e-01
1.127426795189726683e+01,-9.614156314219679533e-02,9.185925564161021573e-01
1.131534912296337758e+01,-9.493062232732302208e-02,8.914173688079384261e-01
1.133861577877559590e+01,-9.417360084801150444e-02,8.740675682867279361e-01
1.140971905967389688e+01,-9.154608050614189418e-02,8.118466702490225728e-01
1.151131685840639385e+01,-8.699267403693795864e-02,6.976129332030464036e-01
1.158472928597131713e+01,-8.314105083375281091e-02,5.959128159394324609e-01
1.158669231165015390e+01,-8.303181348770194425e-02,5.929733653217551526e-01
1.166440025876542030e+01,-7.845501809581004182e-02,4.676933366543305493e-01
1.177790555095211822e+01,-7.092720781042978484e-02,2.561243557990695030e-01
1.179737050704722634e+01,-6.954170571248598220e-02,2.169409668301126026e-01
1.185061295365291834e+01,-6.561893329423319765e-02,1.063503614571338352e-01
1.187381930798141383e+01,-6.385027933027820346e-02,5.684972573819152553e-02
1.191962883590114330e+01,-6.025893806148174131e-02,-4.250986424120339890e-02
1.195597676556213429e+01,-5.731902330472546381e-02,-1.223020298530936301e-01
1.206050587471012214e+01,-4.845640574080536944e-02,-3.507251549737747665e-01
1.211592358767613931e+01,-4.353680145190343825e-02,-4.672914996111898200e-01
1.212482760154597727e+01,-4.273350008640422470e-02,-4.855027034629768590e-01
1.216727822307538887e+01,-3.885822190447321689e-02,-5.698114117109416288e-01
1.217018330903303180e+01,-3.859037960567942432e-02,-5.754124651552167125e-01
1.217779633152368746e+01,-3.788693704490210534e-02,-5.899783061317696031e-01
1.232220381112173690e+01,-2.417479254103483549e-02,-8.280892959909906814e-01
1.234892626352585943e+01,-2.157348616267968158e-02,-8.625415224998498331e-01
1.240489139630160054e+01,-1.607783562052489748e-02,-9.231191664748208403e-01
1.243226200753490396e+01,-1.337069749683613730e-02,-9.466869415127567855e-01
1.245328748130757646e+01,-1.128422731196834089e-02,-9.619620031221909340e-01
1.252149156951709053e+01,-4.486398099740247260e-03,-9.939657208976042657e-01
