x,u
1.250234327769982924e-02,3.314186781260984316e-01
6.613749183597644743e-02,6.365389311002499495e-01
1.106207519070728507e-01,8.840966270612691247e-01
1.122713480615944309e-01,8.909294213402046969e-01
1.740075692786253458e-01,1.211436262045433088e+00
2.101661667281186363e-01,1.384533354662372151e+00
2.182312594036365239e-01,1.420250585543845423e+00
2.760271850700378726e-01,1.662598073057255155e+00
3.413883781285419472e-01,1.889689186273427524e+00
3.446447584665223718e-01,1.896684331978981453e+00
3.933418098330582757e-01,2.027760383708462122e+00
3.941720520485585966e-01,2.027406190910414630e+00
3.948048389317350138e-01,2.028061094335622538e+00
4.205040794560920281e-01,2.083401497800902114e+00
4.261530981342422364e-01,2.094968122663529275e+00
4.839778625909546550e-01,2.181105440853491118e+00
5.030182063331776199e-01,2.196828474298331280e+00
5.378914333295372607e-01,2.217520973357184566e+00
5.521246192680977494e-01,2.220326270352934728e+00
5.592065905430412265e-01,2.221239266808189949e+00
5.607818889250494321e-01,2.221019616937979002e+00
5.727533228260468512e-01,2.220929419514058090e+00
5.965261962764848436e-01,2.215596860897659059e+00
6.331251219184067525e-01,2.193183165820944858e+00
6.645481972872406828e-01,2.162104400836636131e+00
6.968369420923640201e-01,2.119503263974360951e+00
7.027065737763307229e-01,2.112469432175288375e+00
7.660334360452363267e-01,1.997133035030697279e+00
7.708275838173874739e-01,1.987406538924270771e+00
8.331675893920078568e-01,1.841954719429294673e+00
8.479085960327376048e-01,1.806610478582183488e+00
9.565181165710255895e-01,1.499996055854913468e+00
9.769626751134882214e-01,1.442204744949898032e+00
9.905055166519929344e-01,1.406650208175058259e+00
1.108606192265074286e+00,1.050883547019329622e+00
1.133173180439363437e+00,9.838495603239340026e-01
1.154097455767137959e+00,9.260447539143847884e-01
1.182064628863262801e+00,8.480836439867598386e-01
1.191481145179953405e+00,8.263806198752623455e-01
1.264232722949271803e+00,6.323331368297151478e-01
1.280491193145093076e+00,5.993663357051275398e-01
1.356515181835276307e+00,4.180635360969476855e-01
1.374744863345120027e+00,3.856191160410152308e-01
1.459545559725438091e+00,2.036925520541710555e-01
1.470357431190888686e+00,1.893393793253131396e-01
1.497154980321734108e+00,1.362276481024962405e-01
1.500793983642494833e+00,1.348629444565096758e-01
1.559721768128185415e+00,2.113354537608384126e-02
1.620375600687738116e+00,-9.155419179981977296e-02
1.688896127111766621e+00,-2.268114208630815920e-01
1.704360664584753771e+00,-2.508860391990587746e-01
1.760799356231725010e+00,-3.699490064744941908e-01
1.805786841407235332e+00,-4.673761359981661312e-01
1.856802334452705150e+00,-5.858114284543076700e-01
1.914296451823821243e+00,-7.297162752464793067e-01
1.959286896524429888e+00,-8.453472608397457622e-01
2.094638517536292266e+00,-1.236328057923555379e+00
2.166598216889043194e+00,-1.450910056914263002e+00
2.168663897905909188e+00,-1.451977400493954073e+00
2.170212197682268140e+00,-1.456417801450655691e+00
2.217543619017596779e+00,-1.596273676986777135e+00
2.283404633583906662e+00,-1.779773577000652196e+00
2.290630114305945764e+00,-1.795928302339271143e+00
2.334697261550088943e+00,-1.905391267157334534e+00
2.372278102074536044e+00,-1.989117548607415520e+00
2.411514678288274371e+00,-2.065863658470648012e+00
2.422838231267984810e+00,-2.087744638494397620e+00
2.500035024412958773e+00,-2.188535885764256950e+00
2.509688264095045529e+00,-2.196103696829016627e+00
2.567155322144905494e+00,-2.221801788838105640e+00
2.582027790654701338e+00,-2.220975221747611084e+00
2.604952429050977347e+00,-2.216015053910769694e+00
2.620478369812264674e+00,-2.213775187760867347e+00
2.772523530780337531e+00,-1.964411759509774535e+00
2.779767763911570100e+00,-1.947154718741018975e+00
2.843469625815767454e+00,-1.742878776462287949e+00
2.869013382529072231e+00,-1.647516654303518235e+00
2.972534437206053148e+00,-1.182177044804455956e+00
2.994383848045194085e+00,-1.070912212923626594e+00
2.999013294856250234e+00,-1.047357538870724802e+00
3.029895751482231780e+00,-8.819696070342754046e-01
3.032697955762559072e+00,-8.668487130166749877e-01
3.064377820362608418e+00,-6.900953398380579307e-01
3.072824647586316349e+00,-6.421416343446796349e-01
3.107109623545614596e+00,-4.438192881894236219e-01
3.126607611781420104e+00,-3.288008138654558987e-01
