x,v
1.250234327769982924e-02,-2.630433715845184928e+00
6.613749183597644743e-02,-2.436377307912884316e+00
1.106207519070728507e-01,-2.310968036625161925e+00
1.122713480615944309e-01,-2.302758551199194148e+00
1.740075692786253458e-01,-2.112656102482937115e+00
2.101661667281186363e-01,-1.983109346462345934e+00
2.182312594036365239e-01,-1.952945237802795386e+00
2.760271850700378726e-01,-1.721237086395475790e+00
3.413883781285419472e-01,-1.434013912310838412e+00
3.446447584665223718e-01,-1.412275007944589600e+00
3.933418098330582757e-01,-1.181265210430235690e+00
3.941720520485585966e-01,-1.174339681257690504e+00
3.948048389317350138e-01,-1.170558511512872268e+00
4.205040794560920281e-01,-1.044018228920257751e+00
4.261530981342422364e-01,-1.012673961673614009e+00
4.839778625909546550e-01,-7.238566384362988826e-01
5.030182063331776199e-01,-6.255268613773932174e-01
5.378914333295372607e-01,-4.507327138705463643e-01
5.521246192680977494e-01,-3.790183051628787103e-01
5.592065905430412265e-01,-3.436003871838815837e-01
5.607818889250494321e-01,-3.355785353565236551e-01
5.727533228260468512e-01,-2.760698627570680186e-01
5.965261962764848436e-01,-1.598808218175610529e-01
6.331251219184067525e-01,1.336065163805089280e-02
6.645481972872406828e-01,1.568791152740398320e-01
6.968369420923640201e-01,2.979730519695278357e-01
7.027065737763307229e-01,3.269862164388880332e-01
7.660334360452363267e-01,5.762157836650845244e-01
7.708275838173874739e-01,5.978126538449480831e-01
8.331675893920078568e-01,8.100136240522809450e-01
8.479085960327376048e-01,8.567109854497572119e-01
9.565181165710255895e-01,1.136476946274789457e+00
9.769626751134882214e-01,1.178302044740486387e+00
9.905055166519929344e-01,1.204096628080975728e+00
1.108606192265074286e+00,1.368776161329308572e+00
1.133173180439363437e+00,1.390531574629528810e+00
1.154097455767137959e+00,1.406625364885669471e+00
1.182064628863262801e+00,1.424203581837491628e+00
1.191481145179953405e+00,1.429914288126900912e+00
1.264232722949271803e+00,1.456836104260088804e+00
1.280491193145093076e+00,1.458836370531688020e+00
1.356515181835276307e+00,1.466581719518652349e+00
1.374744863345120027e+00,1.466315034554000141e+00
1.459545559725438091e+00,1.465270812697138325e+00
1.470357431190888686e+00,1.463128981185894295e+00
1.497154980321734108e+00,1.462446286518119587e+00
1.500793983642494833e+00,1.463004358841197616e+00
1.559721768128185415e+00,1.461840477599577248e+00
1.620375600687738116e+00,1.462297271936460197e+00
1.688896127111766621e+00,1.464032557500465348e+00
1.704360664584753771e+00,1.464940024592784829e+00
1.760799356231725010e+00,1.466803098047264164e+00
1.805786841407235332e+00,1.465797693717001193e+00
1.856802334452705150e+00,1.460085429312810490e+00
1.914296451823821243e+00,1.444308849028183683e+00
1.959286896524429888e+00,1.423208043889030883e+00
2.094638517536292266e+00,1.295412147341344689e+00
2.166598216889043194e+00,1.177360864431440168e+00
2.168663897905909188e+00,1.171169822614494649e+00
2.170212197682268140e+00,1.167215585091160523e+00
2.217543619017596779e+00,1.065324715251839471e+00
2.283404633583906662e+00,8.901142979847581627e-01
2.290630114305945764e+00,8.660513563761387257e-01
2.334697261550088943e+00,7.242528638935941121e-01
2.372278102074536044e+00,5.900666793518916098e-01
2.411514678288274371e+00,4.383444225974046926e-01
2.422838231267984810e+00,3.899745201863451527e-01
2.500035024412958773e+00,5.865444705356495647e-02
2.509688264095045529e+00,7.613805139856431523e-03
2.567155322144905494e+00,-2.635227540146574676e-01
2.582027790654701338e+00,-3.394181797245285348e-01
2.604952429050977347e+00,-4.532896483664985987e-01
2.620478369812264674e+00,-5.349341618708856050e-01
2.772523530780337531e+00,-1.283384490545134593e+00
2.779767763911570100e+00,-1.325635313421855033e+00
2.843469625815767454e+00,-1.610221435612424257e+00
2.869013382529072231e+00,-1.720449103249820366e+00
2.972534437206053148e+00,-2.089114190343821065e+00
2.994383848045194085e+00,-2.152764582989874054e+00
2.999013294856250234e+00,-2.166061351183603545e+00
3.029895751482231780e+00,-2.241315189480091341e+00
3.032697955762559072e+00,-2.248164826474757572e+00
3.064377820362608418e+00,-2.310392678426151480e+00
3.072824647586316349e+00,-2.324938098467692171e+00
3.107109623545614596e+00,-2.371890039854489984e+00
3.126607611781420104e+00,-2.390578379641601803e+00
3.146388649975639940e+00,-2.403707932063470665e+00
3.188392650820551566e+00,-2.411545670531200170e+00
3.232406869076514866e+00,-2.391092236128671722e+00
3.321174585208556795e+00,-2.263705554730221614e+00
3.329194218149302831e+00,-2.240508763525010494e+00
3.335142208134425523e+00,-2.225531472708831338e+00
3.366133486604598879e+00,-2.146666927271206671e+00
3.399827653086405110e+00,-2.046951744477034207e+00
3.419712830549882288e+00,-1.980298248387581284e+00
3.448640281261367235e+00,-1.877642906055328798e+00
3.479362442138044909e+00,-1.759004035398761490e+00
3.481217248060674674e+00,-1.749383983180992752e+00
3.525075566715260234e+00,-1.566294239421811785e+00
3.543808993188925172e+00,-1.482047335600986004e+00
3.552010022937119427e+00,-1.444070058746976137e+00
3.555015412344208148e+00,-1.427224619066185030e+00
3.659243245812445533e+00,-9.242404740559023724e-01
3.732952992252681845e+00,-5.581282134425626928e-01
3.737187837728089601e+00,-5.231949195377785244e-01
3.825496252228993477e+00,-9.809047765201414637e-02
3.923702038000848713e+00,3.294280705263338271e-01
3.940309440400216801e+00,4.011138498064185653e-01
3.946619233189417653e+00,4.262552845877566332e-01
3.963515386354141246e+00,4.909769379857517602e-01
3.975440386395278747e+00,5.356864611614149396e-01
3.981746454141571689e+00,5.601070368963046997e-01
4.030756851107634375e+00,7.258550252470173936e-01
4.046054044466756316e+00,7.743700701518920759e-01
4.046530413154455275e+00,7.758339816248610576e-01
4.059462476137749576e+00,8.146418218342392770e-01
4.061269909288252933e+00,8.201142343188106976e-01
4.063625495399539211e+00,8.270902238775915682e-01
4.084462767451869425e+00,8.856196376094683798e-01
4.088920723544270608e+00,8.979100687703820416e-01
4.097680155652692946e+00,9.212901080731779047e-01
4.127877516180265438e+00,9.960103490737316490e-01
4.164203439500810511e+00,1.075131171303136846e+00
4.193053736996352754e+00,1.130148067701510994e+00
4.195373254364092475e+00,1.134350308970644150e+00
4.228033931839341619e+00,1.187567272299791643e+00
4.248251959597423522e+00,1.216688135201512644e+00
4.257831019370136083e+00,1.229372955756505181e+00
4.301750104091125237e+00,1.279654431806449555e+00
4.402488802003303725e+00,1.352252999613166251e+00
4.412819041513616369e+00,1.355506034067886167e+00
4.431199796611791086e+00,1.361236570325195405e+00
4.495113878775960359e+00,1.377886774091533484e+00
4.497408994059600928e+00,1.378891112489079918e+00
4.511220635179556737e+00,1.379690574780743306e+00
4.538673066639885789e+00,1.382660021986840571e+00
4.564095372508500503e+00,1.384724631473143397e+00
4.572092898108028436e+00,1.384033633146378728e+00
4.641635659073364728e+00,1.386442764440019682e+00
4.649178600719134913e+00,1.387070773982108873e+00
4.668755098470438902e+00,1.386325774956924217e+00
4.717691554037497959e+00,1.386311956984243476e+00
4.726983861323526881e+00,1.386312409847580307e+00
4.781101255093206603e+00,1.386187006764806773e+00
4.817625791299937177e+00,1.386070815477212337e+00
4.861703819362023893e+00,1.385221130061532469e+00
4.884612351546524067e+00,1.385729663172236004e+00
5.008265537248540511e+00,1.356974338234454347e+00
5.024547368042431295e+00,1.351015215210930043e+00
5.034087904168288219e+00,1.346622721153837521e+00
5.123211482442637354e+00,1.279005832667909459e+00
5.181481465277204990e+00,1.210136084948117752e+00
5.181507070764958200e+00,1.210523439855708538e+00
5.219975624998310693e+00,1.150752748036508732e+00
5.232604036334072006e+00,1.128489957973942026e+00
5.246144550143192475e+00,1.103454268108409630e+00
5.255456062043431409e+00,1.085452586769175332e+00
5.258779333009477419e+00,1.078661971485782800e+00
5.293495036984352531e+00,1.003929665465921772e+00
5.307027151170371937e+00,9.715786806583275315e-01
5.319665928146074307e+00,9.401188698779565645e-01
5.350000697952841833e+00,8.591974900526833103e-01
5.365728133164182623e+00,8.130480851836398015e-01
5.404616958866338194e+00,6.914632892263773423e-01
5.439683715523184304e+00,5.695475520052089013e-01
5.507863851427982738e+00,3.081000046661174774e-01
5.560790367569234505e+00,7.981408067465720069e-02
5.566698457509057008e+00,4.781792402147257842e-02
5.623553269870957827e+00,-2.192043394398295320e-01
5.723065589499062966e+00,-7.022751603278121202e-01
5.725987426519290047e+00,-7.283569761958444966e-01
5.777120874913455495e+00,-9.812380269557566814e-01
5.806003336176551954e+00,-1.127348999503118288e+00
5.867558087668539812e+00,-1.417008270231366440e+00
5.878049666414016272e+00,-1.467602723214244564e+00
5.878178404092126996e+00,-1.468953454287416971e+00
